"ID","Prediction_Model1","Prediction_Model2"
1171,"Yes","Yes"
1172,"Yes","Yes"
1173,"Yes","Yes"
1174,"No","No"
1175,"No","No"
1176,"Yes","No"
1177,"Yes","Yes"
1178,"No","No"
1179,"No","No"
1180,"Yes","No"
1181,"Yes","Yes"
1182,"No","No"
1183,"No","No"
1184,"No","No"
1185,"No","No"
1186,"No","No"
1187,"No","No"
1188,"No","No"
1189,"No","Yes"
1190,"No","No"
1191,"Yes","Yes"
1192,"No","No"
1193,"No","No"
1194,"Yes","Yes"
1195,"No","No"
1196,"No","No"
1197,"No","No"
1198,"Yes","Yes"
1199,"No","Yes"
1200,"Yes","Yes"
1201,"Yes","Yes"
1202,"No","No"
1203,"Yes","No"
1204,"Yes","Yes"
1205,"Yes","Yes"
1206,"No","Yes"
1207,"Yes","Yes"
1208,"No","No"
1209,"No","No"
1210,"No","No"
1211,"No","No"
1212,"No","No"
1213,"No","No"
1214,"No","No"
1215,"Yes","Yes"
1216,"No","No"
1217,"No","No"
1218,"No","No"
1219,"No","Yes"
1220,"Yes","Yes"
1221,"No","No"
1222,"Yes","Yes"
1223,"No","No"
1224,"No","Yes"
1225,"No","No"
1226,"No","No"
1227,"No","Yes"
1228,"No","Yes"
1229,"No","No"
1230,"Yes","Yes"
1231,"No","No"
1232,"Yes","Yes"
1233,"No","No"
1234,"Yes","Yes"
1235,"No","No"
1236,"Yes","No"
1237,"No","No"
1238,"Yes","Yes"
1239,"Yes","Yes"
1240,"Yes","No"
1241,"No","No"
1242,"No","No"
1243,"No","No"
1244,"No","No"
1245,"No","No"
1246,"No","Yes"
1247,"No","No"
1248,"Yes","Yes"
1249,"Yes","Yes"
1250,"No","Yes"
1251,"Yes","Yes"
1252,"No","Yes"
1253,"No","Yes"
1254,"Yes","Yes"
1255,"Yes","Yes"
1256,"No","No"
1257,"No","No"
1258,"No","No"
1259,"No","No"
1260,"No","Yes"
1261,"No","No"
1262,"No","No"
1263,"No","Yes"
1264,"No","No"
1265,"No","No"
1266,"Yes","Yes"
1267,"No","No"
1268,"No","No"
1269,"No","Yes"
1270,"Yes","Yes"
1271,"No","No"
1272,"No","No"
1273,"Yes","Yes"
1274,"No","No"
1275,"Yes","Yes"
1276,"No","No"
1277,"Yes","Yes"
1278,"No","No"
1279,"No","Yes"
1280,"No","No"
1281,"No","Yes"
1282,"No","No"
1283,"No","No"
1284,"No","No"
1285,"No","No"
1286,"No","Yes"
1287,"No","No"
1288,"No","Yes"
1289,"No","No"
1290,"No","Yes"
1291,"No","No"
1292,"No","No"
1293,"No","No"
1294,"Yes","Yes"
1295,"Yes","Yes"
1296,"Yes","No"
1297,"Yes","Yes"
1298,"No","No"
1299,"No","No"
1300,"No","No"
1301,"Yes","Yes"
1302,"No","No"
1303,"No","No"
1304,"No","Yes"
1305,"Yes","No"
1306,"No","No"
1307,"No","No"
1308,"Yes","Yes"
1309,"Yes","No"
1310,"No","No"
1311,"Yes","Yes"
1312,"No","No"
1313,"No","No"
1314,"No","No"
1315,"No","No"
1316,"Yes","Yes"
1317,"Yes","Yes"
1318,"Yes","Yes"
1319,"No","No"
1320,"No","No"
1321,"No","Yes"
1322,"Yes","Yes"
1323,"No","No"
1324,"No","No"
1325,"No","Yes"
1326,"Yes","Yes"
1327,"Yes","No"
1328,"No","No"
1329,"No","No"
1330,"No","No"
1331,"No","No"
1332,"No","No"
1333,"Yes","No"
1334,"Yes","Yes"
1335,"Yes","Yes"
1336,"No","No"
1337,"No","No"
1338,"No","No"
1339,"Yes","Yes"
1340,"Yes","No"
1341,"Yes","Yes"
1342,"Yes","Yes"
1343,"No","Yes"
1344,"Yes","Yes"
1345,"Yes","Yes"
1346,"Yes","Yes"
1347,"No","No"
1348,"Yes","Yes"
1349,"No","No"
1350,"No","No"
1351,"Yes","Yes"
1352,"No","Yes"
1353,"Yes","Yes"
1354,"No","No"
1355,"No","No"
1356,"No","No"
1357,"No","No"
1358,"Yes","Yes"
1359,"No","No"
1360,"No","No"
1361,"No","Yes"
1362,"Yes","Yes"
1363,"Yes","No"
1364,"Yes","Yes"
1365,"Yes","Yes"
1366,"Yes","Yes"
1367,"Yes","Yes"
1368,"No","No"
1369,"No","No"
1370,"Yes","Yes"
1371,"No","No"
1372,"No","Yes"
1373,"Yes","Yes"
1374,"No","No"
1375,"No","No"
1376,"No","No"
1377,"No","No"
1378,"No","No"
1379,"No","No"
1380,"No","No"
1381,"Yes","Yes"
1382,"No","No"
1383,"No","No"
1384,"No","Yes"
1385,"Yes","Yes"
1386,"Yes","Yes"
1387,"No","Yes"
1388,"No","No"
1389,"No","Yes"
1390,"No","No"
1391,"No","No"
1392,"Yes","Yes"
1393,"No","No"
1394,"No","No"
1395,"No","No"
1396,"No","No"
1397,"Yes","Yes"
1398,"No","No"
1399,"No","Yes"
1400,"Yes","Yes"
1401,"Yes","Yes"
1402,"No","No"
1403,"No","No"
1404,"Yes","Yes"
1405,"Yes","Yes"
1406,"No","No"
1407,"Yes","Yes"
1408,"No","No"
1409,"No","No"
1410,"No","No"
1411,"No","Yes"
1412,"No","No"
1413,"No","No"
1414,"Yes","No"
1415,"Yes","Yes"
1416,"No","No"
1417,"Yes","Yes"
1418,"Yes","Yes"
1419,"No","No"
1420,"No","No"
1421,"Yes","No"
1422,"No","No"
1423,"No","No"
1424,"No","No"
1425,"No","No"
1426,"No","No"
1427,"No","No"
1428,"No","No"
1429,"No","No"
1430,"No","No"
1431,"No","No"
1432,"No","No"
1433,"No","No"
1434,"Yes","Yes"
1435,"No","No"
1436,"No","No"
1437,"No","No"
1438,"Yes","No"
1439,"Yes","No"
1440,"No","No"
1441,"Yes","Yes"
1442,"Yes","Yes"
1443,"No","No"
1444,"Yes","Yes"
1445,"Yes","Yes"
1446,"Yes","Yes"
1447,"Yes","Yes"
1448,"No","No"
1449,"No","Yes"
1450,"Yes","Yes"
1451,"Yes","Yes"
1452,"Yes","Yes"
1453,"No","No"
1454,"Yes","Yes"
1455,"Yes","Yes"
1456,"Yes","Yes"
1457,"Yes","Yes"
1458,"No","Yes"
1459,"Yes","Yes"
1460,"Yes","No"
1461,"No","No"
1462,"No","Yes"
1463,"Yes","Yes"
1464,"No","Yes"
1465,"Yes","No"
1466,"Yes","Yes"
1467,"No","No"
1468,"Yes","Yes"
1469,"No","No"
1470,"No","No"
